,document,r1-precision,r1-recall,r1-f1-score,r2-precision,r2-recall,r2-f1-score,rL-precision,rL-recall,rL-f1-score
21,C00-1044,0.13237924865831843,0.5522388059701493,0.2135642135642136,0.035842293906810034,0.15037593984962405,0.05788712011577424,0.07334525939177101,0.30597014925373134,0.11832611832611832
22,P09-1057,0.32507739938080493,0.5555555555555556,0.41015624999999994,0.055900621118012424,0.09574468085106383,0.07058823529411765,0.14551083591331268,0.24867724867724866,0.18359375
23,P96-1021,0.16731517509727625,0.48863636363636365,0.24927536231884057,0.04296875,0.12643678160919541,0.0641399416909621,0.09727626459143969,0.2840909090909091,0.14492753623188406
24,P06-1084,0.43548387096774194,0.47577092511013214,0.4547368421052631,0.1214574898785425,0.13274336283185842,0.12684989429175475,0.1935483870967742,0.21145374449339208,0.2021052631578947
25,C04-1041,0.31761006289308175,0.4007936507936508,0.35438596491228075,0.06624605678233439,0.08366533864541832,0.07394366197183098,0.14465408805031446,0.18253968253968253,0.1614035087719298
26,W11-1801,0.17482517482517482,0.5263157894736842,0.26246719160104987,0.03508771929824561,0.10638297872340426,0.05277044854881267,0.10139860139860139,0.30526315789473685,0.15223097112860892
27,P91-1034,0.30697674418604654,0.5365853658536586,0.3905325443786983,0.07476635514018691,0.13114754098360656,0.09523809523809525,0.16744186046511628,0.2926829268292683,0.21301775147928995
28,P05-1067,0.3480392156862745,0.3858695652173913,0.365979381443299,0.11330049261083744,0.12568306010928962,0.11917098445595854,0.19117647058823528,0.21195652173913043,0.20103092783505155
29,W09-0424,0.21524663677130046,0.39669421487603307,0.2790697674418605,0.06306306306306306,0.11666666666666667,0.08187134502923976,0.12556053811659193,0.23140495867768596,0.1627906976744186
30,W04-0308,0.20766773162939298,0.6701030927835051,0.3170731707317073,0.07371794871794872,0.23958333333333334,0.11274509803921569,0.1182108626198083,0.38144329896907214,0.18048780487804877
31,W07-2014,0.13450292397660818,0.5054945054945055,0.21247113163972284,0.03519061583577713,0.13333333333333333,0.055684454756380515,0.07602339181286549,0.2857142857142857,0.12009237875288684
32,H91-1060,0.07766990291262135,0.6037735849056604,0.13763440860215054,0.038929440389294405,0.3076923076923077,0.06911447084233262,0.05825242718446602,0.4528301886792453,0.10322580645161292
33,J10-3003,0.29056603773584905,0.48125,0.36235294117647054,0.06818181818181818,0.11320754716981132,0.0851063829787234,0.1509433962264151,0.25,0.18823529411764706
34,P06-1077,0.3320610687022901,0.5506329113924051,0.41428571428571437,0.09578544061302682,0.1592356687898089,0.11961722488038277,0.13740458015267176,0.22784810126582278,0.17142857142857143
35,C04-1046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,S12-1053,0.13404255319148936,0.5727272727272728,0.21724137931034482,0.03837953091684435,0.1651376146788991,0.06228373702422146,0.08723404255319149,0.37272727272727274,0.14137931034482756
37,P02-1019,0.28,0.5947712418300654,0.3807531380753138,0.05555555555555555,0.11842105263157894,0.07563025210084033,0.12923076923076923,0.27450980392156865,0.17573221757322174
38,W99-0613,0.3253968253968254,0.47953216374269003,0.3877068557919621,0.0796812749003984,0.11764705882352941,0.09501187648456055,0.15873015873015872,0.23391812865497075,0.18912529550827423
39,W97-0322,0.27017543859649124,0.5923076923076923,0.3710843373493976,0.0880281690140845,0.1937984496124031,0.12106537530266344,0.1368421052631579,0.3,0.18795180722891566
40,P05-1033,0.32978723404255317,0.4305555555555556,0.37349397590361444,0.08185053380782918,0.10697674418604651,0.09274193548387097,0.14184397163120568,0.18518518518518517,0.1606425702811245
41,W07-0717,0.2588996763754045,0.49382716049382713,0.3397027600849256,0.03571428571428571,0.06832298136645963,0.046908315565031986,0.11650485436893204,0.2222222222222222,0.15286624203821655
42,J04-1002,0.4512820512820513,0.39111111111111113,0.41904761904761906,0.12886597938144329,0.11160714285714286,0.11961722488038277,0.2,0.17333333333333334,0.18571428571428572
43,D09-1092,0.3701067615658363,0.47706422018348627,0.4168336673346693,0.1,0.12903225806451613,0.11267605633802817,0.15658362989323843,0.2018348623853211,0.17635270541082165
44,N07-1038,0.3403361344537815,0.48502994011976047,0.39999999999999997,0.10970464135021098,0.1566265060240964,0.12903225806451615,0.18067226890756302,0.25748502994011974,0.21234567901234566
45,D10-1048,0.32996632996632996,0.4188034188034188,0.3691148775894539,0.037162162162162164,0.04721030042918455,0.04158790170132325,0.12457912457912458,0.1581196581196581,0.1393596986817326
46,J04-1005,0.1615720524017467,0.5606060606060606,0.25084745762711863,0.07894736842105263,0.27692307692307694,0.1228668941979522,0.09606986899563319,0.3333333333333333,0.14915254237288136
47,P05-1034,0.35714285714285715,0.4857142857142857,0.4116222760290557,0.08438818565400844,0.11494252873563218,0.097323600973236,0.15546218487394958,0.21142857142857144,0.1791767554479419
