,document,r1-precision,r1-recall,r1-f1-score,r2-precision,r2-recall,r2-f1-score,rL-precision,rL-recall,rL-f1-score
48,C08-1022,0.29411764705882354,0.2777777777777778,0.28571428571428575,0.014925373134328358,0.014084507042253521,0.014492753623188406,0.16176470588235295,0.1527777777777778,0.15714285714285717
49,C02-1144,0.5714285714285714,0.21212121212121213,0.30939226519337015,0.375,0.13740458015267176,0.2011173184357542,0.30612244897959184,0.11363636363636363,0.16574585635359115
50,J91-4003,0.8695652173913043,0.28846153846153844,0.43321299638989164,0.7794117647058824,0.2560386473429952,0.3854545454545455,0.8260869565217391,0.27403846153846156,0.41155234657039713
51,P09-2012,0.2608695652173913,0.4,0.31578947368421056,0.06593406593406594,0.1016949152542373,0.08000000000000002,0.16304347826086957,0.25,0.19736842105263158
52,P02-1017,0.2857142857142857,0.14814814814814814,0.1951219512195122,0.0,0.0,0.0,0.19642857142857142,0.10185185185185185,0.13414634146341461
53,N04-1021,0.275,0.3707865168539326,0.31578947368421056,0.04201680672268908,0.056818181818181816,0.04830917874396136,0.13333333333333333,0.1797752808988764,0.15311004784688995
54,W09-0441,0.43243243243243246,0.3037974683544304,0.3568773234200744,0.08181818181818182,0.05732484076433121,0.06741573033707865,0.24324324324324326,0.17088607594936708,0.20074349442379183
55,W00-1427,0.4016393442622951,0.5268817204301075,0.4558139534883721,0.17355371900826447,0.22826086956521738,0.19718309859154928,0.2459016393442623,0.3225806451612903,0.27906976744186046
56,W97-0313,0.4666666666666667,0.18791946308724833,0.26794258373205737,0.1864406779661017,0.07432432432432433,0.10628019323671498,0.31666666666666665,0.12751677852348994,0.18181818181818182
57,E06-1043,0.22857142857142856,0.21333333333333335,0.2206896551724138,0.028985507246376812,0.02702702702702703,0.027972027972027972,0.15714285714285714,0.14666666666666667,0.15172413793103448
58,W97-0119,0.20238095238095238,0.17708333333333334,0.1888888888888889,0.024096385542168676,0.021052631578947368,0.02247191011235955,0.09523809523809523,0.08333333333333333,0.08888888888888889
59,P06-1015,0.23529411764705882,0.12244897959183673,0.16107382550335572,0.04,0.020618556701030927,0.027210884353741496,0.11764705882352941,0.061224489795918366,0.08053691275167786
60,J07-2003,0.7291666666666666,0.3763440860215054,0.4964539007092198,0.574468085106383,0.29347826086956524,0.3884892086330936,0.5,0.25806451612903225,0.3404255319148936
61,N04-1019,0.2898550724637681,0.2702702702702703,0.27972027972027974,0.08823529411764706,0.0821917808219178,0.0851063829787234,0.15942028985507245,0.14864864864864866,0.15384615384615385
62,C04-1024,0.3150684931506849,0.323943661971831,0.3194444444444445,0.1111111111111111,0.11428571428571428,0.11267605633802817,0.1506849315068493,0.15492957746478872,0.1527777777777778
