,document,r1-precision,r1-recall,r1-f1-score,r2-precision,r2-recall,r2-f1-score,rL-precision,rL-recall,rL-f1-score
31,W07-2014,0.17708333333333334,0.18681318681318682,0.1818181818181818,0.010526315789473684,0.011111111111111112,0.010810810810810811,0.125,0.13186813186813187,0.12834224598930483
32,H91-1060,0.13385826771653545,0.32075471698113206,0.18888888888888888,0.007936507936507936,0.019230769230769232,0.011235955056179775,0.07874015748031496,0.18867924528301888,0.1111111111111111
33,J10-3003,0.6142857142857143,0.26875,0.3739130434782608,0.36231884057971014,0.15723270440251572,0.21929824561403508,0.42857142857142855,0.1875,0.26086956521739124
34,P06-1077,0.3170731707317073,0.2468354430379747,0.2775800711743772,0.05737704918032787,0.044585987261146494,0.050179211469534045,0.13821138211382114,0.10759493670886076,0.12099644128113879
35,C04-1046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,S12-1053,0.2967032967032967,0.24545454545454545,0.26865671641791045,0.1,0.08256880733944955,0.09045226130653267,0.15384615384615385,0.12727272727272726,0.13930348258706465
37,P02-1019,0.35294117647058826,0.19607843137254902,0.25210084033613445,0.03571428571428571,0.019736842105263157,0.025423728813559324,0.18823529411764706,0.10457516339869281,0.13445378151260504
38,W99-0613,0.5632183908045977,0.28654970760233917,0.37984496124031003,0.26744186046511625,0.13529411764705881,0.17968749999999997,0.27586206896551724,0.14035087719298245,0.18604651162790697
39,W97-0322,0.4523809523809524,0.2923076923076923,0.35514018691588783,0.08433734939759036,0.05426356589147287,0.0660377358490566,0.27380952380952384,0.17692307692307693,0.21495327102803738
40,P05-1033,0.4722222222222222,0.2361111111111111,0.3148148148148148,0.102803738317757,0.05116279069767442,0.06832298136645963,0.18518518518518517,0.09259259259259259,0.12345679012345677
41,W07-0717,0.45714285714285713,0.09876543209876543,0.16243654822335027,0.14705882352941177,0.031055900621118012,0.05128205128205129,0.2857142857142857,0.06172839506172839,0.10152284263959391
42,J04-1002,0.7558139534883721,0.28888888888888886,0.4180064308681672,0.6235294117647059,0.23660714285714285,0.34304207119741104,0.6162790697674418,0.23555555555555555,0.34083601286173637
43,D09-1092,0.46153846153846156,0.27522935779816515,0.3448275862068966,0.11627906976744186,0.06912442396313365,0.08670520231213873,0.2230769230769231,0.13302752293577982,0.16666666666666666
44,N07-1038,0.42105263157894735,0.23952095808383234,0.3053435114503817,0.06382978723404255,0.03614457831325301,0.046153846153846156,0.17894736842105263,0.10179640718562874,0.12977099236641218
45,D10-1048,0.464,0.24786324786324787,0.3231197771587744,0.18548387096774194,0.09871244635193133,0.12885154061624648,0.272,0.1452991452991453,0.1894150417827298
46,J04-1005,0.7755102040816326,0.5757575757575758,0.6608695652173914,0.7291666666666666,0.5384615384615384,0.6194690265486725,0.7551020408163265,0.5606060606060606,0.6434782608695652
47,P05-1034,0.546875,0.2,0.29288702928870297,0.15873015873015872,0.05747126436781609,0.08438818565400844,0.25,0.09142857142857143,0.13389121338912136
48,C08-1022,0.35294117647058826,0.24242424242424243,0.2874251497005988,0.014925373134328358,0.01020408163265306,0.01212121212121212,0.20588235294117646,0.1414141414141414,0.16766467065868262
49,C02-1144,0.5510204081632653,0.17763157894736842,0.26865671641791045,0.3125,0.09933774834437085,0.1507537688442211,0.30612244897959184,0.09868421052631579,0.14925373134328357
50,J91-4003,0.8985507246376812,0.23846153846153847,0.37689969604863227,0.8529411764705882,0.22393822393822393,0.35474006116207946,0.8985507246376812,0.23846153846153847,0.37689969604863227
51,P09-2012,0.25,0.3770491803278688,0.3006535947712418,0.054945054945054944,0.08333333333333333,0.0662251655629139,0.15217391304347827,0.22950819672131148,0.18300653594771243
52,P02-1017,0.30357142857142855,0.12686567164179105,0.17894736842105266,0.01818181818181818,0.007518796992481203,0.010638297872340425,0.19642857142857142,0.08208955223880597,0.11578947368421054
53,N04-1021,0.3333333333333333,0.25316455696202533,0.2877697841726619,0.04201680672268908,0.03184713375796178,0.036231884057971016,0.16666666666666666,0.12658227848101267,0.14388489208633096
