,document,r1-precision,r1-recall,r1-f1-score,r2-precision,r2-recall,r2-f1-score,rL-precision,rL-recall,rL-f1-score
56,W97-0313,0.4556213017751479,0.5167785234899329,0.48427672955974843,0.16071428571428573,0.18243243243243243,0.17088607594936708,0.23076923076923078,0.26174496644295303,0.24528301886792453
57,E06-1043,0.2,0.6133333333333333,0.3016393442622951,0.07423580786026202,0.22972972972972974,0.1122112211221122,0.11304347826086956,0.3466666666666667,0.17049180327868851
58,W97-0119,0.23113207547169812,0.5104166666666666,0.3181818181818182,0.08530805687203792,0.18947368421052632,0.11764705882352941,0.1320754716981132,0.2916666666666667,0.18181818181818182
59,P06-1015,0.20522388059701493,0.5612244897959183,0.3005464480874317,0.06367041198501873,0.17525773195876287,0.09340659340659341,0.12313432835820895,0.336734693877551,0.180327868852459
60,J07-2003,0.17228464419475656,0.4946236559139785,0.2555555555555556,0.03007518796992481,0.08695652173913043,0.04469273743016759,0.08239700374531835,0.23655913978494625,0.12222222222222222
61,N04-1019,0.14285714285714285,0.527027027027027,0.22478386167146974,0.03676470588235294,0.136986301369863,0.057971014492753624,0.08424908424908426,0.3108108108108108,0.1325648414985591
62,C04-1024,0.17525773195876287,0.4788732394366197,0.25660377358490566,0.09326424870466321,0.2571428571428571,0.13688212927756652,0.12371134020618557,0.3380281690140845,0.1811320754716981
63,N03-1033,0.1597222222222222,0.48936170212765956,0.2408376963350785,0.03484320557491289,0.10752688172043011,0.05263157894736842,0.09722222222222222,0.2978723404255319,0.14659685863874347
64,W99-0625,1.0,0.055848724714160074,0.10578925447730113,0.9525691699604744,0.05300197932702881,0.10041666666666667,0.984251968503937,0.054969217238346524,0.10412328196584757
65,P95-1037,0.301255230125523,0.38095238095238093,0.3364485981308411,0.07142857142857142,0.09042553191489362,0.07981220657276994,0.1297071129707113,0.164021164021164,0.14485981308411214
66,W03-1008,0.0975609756097561,0.5384615384615384,0.16519174041297935,0.03146853146853147,0.17647058823529413,0.053412462908011875,0.059233449477351915,0.3269230769230769,0.10029498525073745
67,E06-1027,0.29904306220095694,0.6410256410256411,0.4078303425774878,0.1366906474820144,0.29381443298969073,0.1865793780687398,0.18421052631578946,0.39487179487179486,0.25122349102773245
68,P05-1066,0.2936170212765957,0.4825174825174825,0.365079365079365,0.09829059829059829,0.1619718309859155,0.12234042553191489,0.15319148936170213,0.2517482517482518,0.1904761904761905
69,W97-0713,0.1240955930716948,0.9843478260869565,0.22040498442367604,0.11798245614035088,0.9372822299651568,0.20958317101675106,0.11488708616531462,0.9113043478260869,0.20404984423676012
70,J90-1003,0.3220858895705521,0.38321167883211676,0.35,0.043076923076923075,0.05128205128205128,0.046822742474916385,0.13190184049079753,0.15693430656934307,0.1433333333333333
71,P96-1027,0.9863013698630136,0.07536636427076064,0.14003241491085897,0.8853211009174312,0.06736474694589878,0.12520272461887771,0.91324200913242,0.06978367062107467,0.12965964343598055
72,P05-1059,0.10801393728222997,0.5344827586206896,0.17971014492753623,0.027972027972027972,0.14035087719298245,0.0466472303206997,0.07317073170731707,0.3620689655172414,0.1217391304347826
73,P10-1040,0.3277777777777778,0.5784313725490197,0.41843971631205673,0.12290502793296089,0.21782178217821782,0.15714285714285714,0.2,0.35294117647058826,0.25531914893617025
74,W07-2012,0.17921146953405018,0.7575757575757576,0.28985507246376807,0.07553956834532374,0.3230769230769231,0.12244897959183673,0.1111111111111111,0.4696969696969697,0.1797101449275362
75,N04-1042,0.2631578947368421,0.4482758620689655,0.33163265306122447,0.06504065040650407,0.1111111111111111,0.08205128205128205,0.13765182186234817,0.23448275862068965,0.173469387755102
76,J90-1004,0.11349693251533742,0.47435897435897434,0.18316831683168316,0.027692307692307693,0.11688311688311688,0.04477611940298507,0.0736196319018405,0.3076923076923077,0.1188118811881188
77,P06-1085,0.15810276679841898,0.45977011494252873,0.23529411764705882,0.03968253968253968,0.11627906976744186,0.059171597633136085,0.09486166007905138,0.27586206896551724,0.1411764705882353
78,P01-1064,0.23972602739726026,0.5147058823529411,0.32710280373831774,0.1103448275862069,0.23880597014925373,0.15094339622641506,0.15753424657534246,0.3382352941176471,0.21495327102803738
79,H05-1004,0.27461139896373055,0.41732283464566927,0.33125,0.057291666666666664,0.0873015873015873,0.06918238993710692,0.12953367875647667,0.1968503937007874,0.15625
80,W98-1411,0.1694915254237288,0.6060606060606061,0.2649006622516556,0.05106382978723404,0.18461538461538463,0.08,0.1016949152542373,0.36363636363636365,0.15894039735099338
81,J93-2005,0.3283582089552239,0.4861878453038674,0.39198218262806234,0.052434456928838954,0.07777777777777778,0.06263982102908278,0.16044776119402984,0.23756906077348067,0.19153674832962136
82,P05-1057,0.24725274725274726,0.5487804878048781,0.3409090909090909,0.07734806629834254,0.1728395061728395,0.10687022900763356,0.13736263736263737,0.3048780487804878,0.1893939393939394
83,P02-1042,0.1480637813211845,0.625,0.23941068139963168,0.04794520547945205,0.20388349514563106,0.07763401109057301,0.0979498861047836,0.41346153846153844,0.1583793738489871
84,W07-2216,0.14705882352941177,0.6172839506172839,0.2375296912114014,0.0471976401179941,0.2,0.07637231503579951,0.09705882352941177,0.4074074074074074,0.15676959619952494
85,W98-0705,0.14641744548286603,0.42727272727272725,0.21809744779582363,0.040625,0.11926605504587157,0.06060606060606061,0.102803738317757,0.3,0.1531322505800464
86,D09-1005,0.2268041237113402,0.5116279069767442,0.3142857142857143,0.08620689655172414,0.1953125,0.11961722488038279,0.14432989690721648,0.32558139534883723,0.19999999999999998
87,P09-1094,0.24479166666666666,0.49473684210526314,0.3275261324041812,0.03664921465968586,0.07446808510638298,0.04912280701754386,0.13541666666666666,0.2736842105263158,0.18118466898954702
88,P06-2094,0.3128834355828221,0.4146341463414634,0.3566433566433566,0.04938271604938271,0.06557377049180328,0.056338028169014086,0.147239263803681,0.1951219512195122,0.16783216783216787
89,C94-1027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,W04-1013,0.17253521126760563,0.494949494949495,0.2558746736292428,0.038869257950530034,0.11224489795918367,0.05774278215223096,0.10915492957746478,0.31313131313131315,0.16187989556135773
91,W04-1221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,W03-1006,0.18340611353711792,0.6666666666666666,0.28767123287671237,0.08333333333333333,0.3064516129032258,0.13103448275862067,0.1222707423580786,0.4444444444444444,0.1917808219178082
93,P88-1012,0.13777777777777778,0.4696969696969697,0.21305841924398627,0.017857142857142856,0.06153846153846154,0.02768166089965398,0.08444444444444445,0.2878787878787879,0.13058419243986255
94,P09-1058,0.3,0.49606299212598426,0.37388724035608306,0.10526315789473684,0.1746031746031746,0.13134328358208955,0.18571428571428572,0.30708661417322836,0.23145400593471813
95,E06-1011,0.1701388888888889,0.5697674418604651,0.2620320855614973,0.05574912891986063,0.18823529411764706,0.08602150537634409,0.09375,0.313953488372093,0.1443850267379679
